"","id","progress","leo","duration_in_seconds","finished","recorded_date","age","gend","aian","asian","black","nhpi","white","ethnicity","year_position","year_field","ooas1","ooas2","ooas3","ooas4","ooas5","ooas6","narrcb1","narrcb2","narrcb3","narrcb4","mhl1","mhl2","mhl3","mhl4","burnout1","burnout2","burnout3","burnout4","burnout5","burnout6","burnout7","burnout8","burnout9"
"998","130","100","-99","857","TRUE","-99","45","Man","0","-99","-99","0","White","Non-Hispanic",2,2,"4","2","1","NA","3","3","3","4","3","3","","2","4","","1","1","1","1","1","1","1","","4"
"142","131","-99","1","656","-99","2021-09-14T14:06:22Z","48","Man","0","0","0","0","White","Non-Hispanic",4,-99,"1","3","3","4","3","NA","NA","3","","4","4","2","4","","","","2","7","4","","4","","2"
"1547","-99","100","1","4905","TRUE","2022-06-01T01:25:47Z","36","Man","0","0","African American / Black","0","0","Non-Hispanic",1,11,"NA","1","1","2","NA","NA","2","2","2","1","2","1","5","5","","4","2","","1","","4","7","7"
"348","133","100","-99","-99","TRUE","-99","25","Man","0","0","-99","0","White","Non-Hispanic",3,3,"3","2","2","3","2","3","3","NA","2","","2","1","4","5","2","2","2","4","","1","","2","2"
"667","-99","100","1","1710","TRUE","2022-10-06T13:27:27Z","35","Man","-99","0","African American / Black","0","0","Non-Hispanic",6,6,"3","2","2","NA","2","NA","NA","3","1","","","","4","4","6","6","4","4","1","1","2","4","4"
"1695","-99","100","1","1007","-99","2022-07-26T20:07:44Z","28","Man","0","0","0","0","-99","Non-Hispanic",-99,1,"3","NA","2","2","2","3","NA","2","","3","","2","4","","1","1","","","1","","1","1","1"
"349","136","-99","-99","821","TRUE","2022-03-29T14:11:23Z","32","Man","0","-99","0","-99","0","Non-Hispanic",2,7,"3","3","2","3","2","3","3","3","3","3","3","3","3","","2","","2","2","2","","2","",""
"10","137","100","1","856","-99","2020-12-17T18:19:10Z","25","Man","0","0","0","0","White","-99",3,-99,"NA","2","NA","2","1","4","NA","3","2","2","2","2","4","4","4","4","3","","1","","","4",""
"1630","138","100","1","870","TRUE","2022-06-29T17:20:43Z","35","Man","-99","0","-99","0","-99","Non-Hispanic",5,5,"4","2","NA","NA","2","4","4","4","3","","","1","5","5","2","1","1","3","1","1","2","4","6"
"692","139","100","1","1330","-99","2022-10-14T13:14:17Z","26","-99","0","0","-99","0","White","-99",1,1,"3","2","3","3","1","4","NA","NA","1","1","1","1","5","5","5","","5","4","1","1","4","","5"
"1348","140","100","1","-99","TRUE","2022-05-06T04:43:09Z","49","Man","-99","0","0","0","White","Non-Hispanic",12,-99,"2","1","1","2","1","4","NA","3","2","2","2","1","4","","1","","1","1","1","1","1","7","2"
"794","141","100","1","1822","TRUE","2022-11-28T14:33:53Z","46","Man","0","-99","-99","0","White","Non-Hispanic",2,23,"1","2","1","2","1","4","1","1","1","","2","1","","5","2","1","1","1","1","","2","5","6"
"1374","142","100","-99","1473","-99","2022-05-11T23:01:23Z","32","Man","0","0","-99","0","White","-99",6,6,"3","NA","2","3","2","4","NA","NA","2","3","2","1","4","4","","4","","4","2","","4","2",""
"321","143","-99","1","1675","TRUE","2022-02-01T15:24:15Z","57","Man","0","0","0","0","White","Non-Hispanic",-99,-99,"3","2","2","3","2","3","NA","2","2","2","3","2","4","4","4","2","4","2","1","1","5","4","4"
"1293","144","100","1","562","TRUE","-99","27","-99","0","0","0","0","-99","-99",-99,1,"1","1","1","3","1","4","4","3","1","1","3","1","4","4","2","1","2","","1","1","5","6","6"
"13","145","100","-99","1100","TRUE","2020-12-17T18:24:52Z","24","Man","0","0","0","0","White","Non-Hispanic",3,3,"NA","2","3","3","2","3","4","4","4","","4","","4","4","","2","1","4","1","1","3","","4"
"622","146","100","-99","1573","-99","2022-09-02T13:27:06Z","36","Man","0","-99","African American / Black","0","0","-99",12,-99,"2","3","3","3","2","3","2","2","2","","","2","4","4","","4","1","1","1","1","4","4","5"
"649","147","100","1","1807","TRUE","2022-10-03T13:28:27Z","31","-99","0","0","0","0","White","Non-Hispanic",4,4,"2","2","2","3","2","3","2","2","2","2","3","1","4","4","4","4","2","1","1","1","","3","2"
"887","148","-99","-99","787","TRUE","-99","47","Man","0","0","0","0","-99","-99",14,14,"2","2","2","NA","2","3","3","2","2","2","","2","3","","2","2","","1","1","1","3","2",""
"61","149","100","1","1150","TRUE","2021-03-10T21:29:30Z","-99","Man","0","0","0","0","White","Hispanic",5,-99,"NA","2","2","3","1","4","3","3","3","","2","","","4","2","2","2","1","1","1","","7","4"
"813","150","-99","0","-99","TRUE","2020-09-24T18:23:02Z","73","Man","0","0","0","0","White","Non-Hispanic",-99,42,"NA","3","NA","NA","NA","4","NA","3","2","2","","2","4","4","","1","","","2","1","3","","5"
"1856","151","-99","1","-99","-99","2022-11-11T21:30:07Z","49","Man","0","0","0","0","White","-99",1,1,"2","2","NA","NA","2","3","3","3","2","3","","2","4","4","2","2","2","","1","2","2","3","3"
"1175","152","-99","0","730","TRUE","2022-09-23T14:13:40Z","-99","Man","-99","0","0","0","White","Hispanic",1.5,5,"4","NA","1","3","2","NA","4","4","3","2","4","","4","4","","2","1","1","1","","","7","7"
"1042","153","100","0","645","TRUE","2022-02-16T19:42:32Z","26","-99","0","0","-99","0","White","-99",3,5,"3","3","2","2","2","NA","NA","NA","3","3","2","1","5","5","2","5","","","1","1","1","7","7"
"1014","154","100","-99","724","TRUE","2022-02-08T16:19:14Z","22","Woman","0","0","0","0","White","Non-Hispanic",-99,0,"3","2","2","3","2","3","2","3","2","","","1","3","3","2","2","2","1","1","","7","","5"
"1588","155","-99","1","639","TRUE","-99","54","Man","0","-99","0","0","White","Non-Hispanic",4,30,"2","2","NA","3","NA","NA","2","2","2","2","","1","2","4","7","","4","4","","1","5","6",""
"1490","156","100","-99","3857","-99","2022-05-24T14:37:07Z","35","Man","0","0","0","0","White","Non-Hispanic",3,9,"2","2","2","NA","2","4","2","2","2","2","","1","4","1","4","2","2","","1","1","4","6","6"
"529","157","100","1","666","TRUE","2022-08-24T13:11:36Z","-99","Man","0","0","0","0","White","Non-Hispanic",3,14.5,"4","4","3","3","3","3","NA","NA","3","","3","1","4","","7","","7","5","","","3","4","1"
"425","158","100","1","988","TRUE","-99","27","Man","0","0","0","-99","White","-99",1,1,"NA","2","2","4","4","3","3","3","","","2","2","4","4","","","4","","1","1","5","5",""
"1047","159","100","0","-99","TRUE","2022-02-16T19:48:55Z","31","Man","-99","0","0","0","-99","-99",1,8,"3","2","2","2","2","NA","3","NA","","2","","2","4","4","2","2","2","2","","1","","","4"
"369","-99","100","1","1003","TRUE","2022-04-08T13:44:58Z","31","Man","0","-99","0","-99","-99","Hispanic",8,8,"3","3","2","3","2","3","3","3","2","3","3","2","","4","2","2","2","","2","","5","5","5"
"661","161","-99","1","1010","-99","2022-10-06T13:13:48Z","41","Man","0","0","African American / Black","0","0","Non-Hispanic",-99,5,"2","2","1","NA","2","3","2","2","2","2","2","","","","","3","2","1","2","2","2","7","5"
"1012","162","100","0","631","TRUE","2022-02-08T16:17:39Z","29","-99","0","-99","African American / Black","0","0","Non-Hispanic",-99,0,"4","1","NA","NA","NA","4","3","4","3","1","1","","5","5","1","2","1","","1","1","7","7","7"
"1199","-99","100","0","1368","-99","-99","40","Other (specify):","0","-99","0","0","0","-99",10,10,"3","2","3","3","2","3","3","3","3","","3","1","3","4","2","2","","3","","2","2","2",""
"986","164","-99","0","-99","-99","2021-11-16T14:27:26Z","-99","Man","0","0","0","0","White","-99",6,6,"3","2","2","4","3","3","4","3","3","3","1","1","","4","1","1","","1","1","1","","4","4"
"916","165","100","-99","1485","TRUE","2021-07-14T15:13:43Z","50","Man","0","0","-99","0","White","-99",22,25,"2","2","NA","3","2","3","3","NA","3","2","2","3","3","3","2","","1","2","1","","5","5",""
"858","166","100","0","508","TRUE","2021-04-14T18:31:40Z","30","-99","0","Asian","0","-99","0","Non-Hispanic",0,11,"2","2","NA","3","2","4","2","2","2","2","3","2","5","5","4","2","1","","1","1","6","","6"
"957","167","100","0","764","TRUE","-99","54","Man","-99","-99","0","0","White","Non-Hispanic",15,30,"2","2","2","3","2","3","NA","3","3","2","","","","4","2","2","1","2","1","2","6","6","7"
"533","168","100","1","972","TRUE","2022-08-24T13:17:22Z","44","Man","0","0","0","0","-99","Non-Hispanic",7,22,"NA","2","2","3","2","3","2","2","2","2","","2","4","","6","6","","6","1","1","2","2",""
"1103","-99","100","0","2175","TRUE","2022-06-09T14:36:51Z","31","Woman","0","0","0","0","White","Non-Hispanic",-99,6,"1","1","1","3","1","4","3","2","1","1","3","1","4","5","2","","","2","1","2","4","4","7"
"698","-99","-99","-99","1536","TRUE","2022-10-14T13:28:32Z","58","-99","0","0","0","0","White","Non-Hispanic",0,-99,"2","2","2","2","2","3","2","NA","","2","3","3","3","3","","3","","2","1","2","6","6","5"
"191","171","100","-99","-99","TRUE","2021-10-01T20:12:54Z","46","Man","0","0","0","0","White","Non-Hispanic",6,-99,"3","NA","NA","3","NA","3","NA","3","","3","3","3","3","3","2","","","3","1","","1","2","2"
"314","-99","100","1","1165","TRUE","2022-02-01T15:14:20Z","-99","Man","0","0","0","0","White","Non-Hispanic",-99,13,"1","1","1","3","NA","4","2","2","","1","3","1","4","4","4","1","1","1","","1","4","3","3"
"1026","173","100","0","860","-99","-99","40","Man","-99","0","0","0","White","Non-Hispanic",13,15,"NA","2","2","NA","2","NA","2","2","2","2","2","2","4","4","1","1","1","2","1","1","5","4","4"
"1453","174","-99","1","168653","-99","-99","45","-99","0","-99","0","0","White","Non-Hispanic",-99,-99,"3","2","2","NA","2","3","NA","2","","3","3","3","3","","2","2","3","2","1","1","3","2","3"
"1911","175","-99","1","1733","TRUE","2022-12-06T20:50:28Z","34","Woman","0","0","0","0","-99","Non-Hispanic",-99,10,"2","3","1","NA","2","3","4","4","3","4","3","2","3","3","","3","2","3","2","1","","4","5"
"947","-99","100","0","443","TRUE","2021-09-27T15:13:38Z","-99","Man","0","-99","0","-99","White","Non-Hispanic",1,-99,"1","1","1","1","1","4","3","3","2","3","3","2","4","4","3","3","1","1","1","1","1","4","4"
"45","177","-99","1","867","TRUE","2021-03-10T14:22:20Z","41","Man","0","0","0","0","White","Non-Hispanic",3,-99,"3","2","2","NA","3","3","3","NA","3","3","3","2","3","4","4","4","2","1","1","1","5","6","6"
"673","178","100","1","1034","TRUE","2022-10-12T13:18:18Z","45","Man","-99","0","-99","0","-99","Non-Hispanic",-99,-99,"2","2","NA","3","2","NA","3","3","2","2","2","2","4","","2","","","2","1","1","5","7","7"
"772","179","100","-99","1460","TRUE","2022-11-17T19:39:42Z","37","-99","0","-99","0","-99","-99","-99",15,15,"NA","NA","2","2","2","3","2","NA","2","2","3","3","4","4","2","2","2","","1","2","","7","7"
"1274","180","-99","1","1319","TRUE","2022-04-29T17:24:21Z","60","Man","0","0","-99","0","White","Non-Hispanic",12,37,"3","1","1","1","NA","4","1","1","1","1","3","1","5","5","1","1","1","1","7","","4","6","6"
"1985","-99","-99","-99","2875","TRUE","-99","-99","Woman","0","0","-99","0","White","Non-Hispanic",-99,0,"1","1","4","1","1","4","4","NA","1","4","3","1","4","","","1","1","","1","1","1","7","4"
"1885","182","-99","-99","1120","TRUE","2022-11-28T20:31:26Z","47","Man","-99","-99","0","0","White","Non-Hispanic",0,7,"NA","NA","2","NA","NA","3","NA","2","2","","3","3","3","3","1","1","1","1","","","3","3","2"
"570","-99","100","1","946","TRUE","2022-08-29T13:06:48Z","34","Man","0","0","-99","0","White","Non-Hispanic",0,110,"4","2","2","4","2","3","NA","3","","","5","","","2","4","4","","5","5","5","3","3","4"
"1643","184","100","1","27002","TRUE","2022-06-30T21:02:40Z","31","Man","0","0","0","-99","White","Hispanic",-99,-99,"NA","2","NA","NA","3","4","NA","2","","","1","1","5","5","4","6","4","","1","1","6","4","7"
"1608","185","100","-99","4491","TRUE","-99","26","-99","0","0","0","0","White","-99",0,0,"4","3","NA","3","2","3","3","3","","2","","3","4","","4","4","1","1","1","1","4","","7"
"363","-99","-99","1","1412","-99","2022-03-31T14:20:37Z","-99","Man","0","0","0","0","White","Non-Hispanic",14,15,"3","3","3","3","2","3","3","3","3","3","2","","4","4","2","","2","4","2","1","1","",""
"1328","187","100","1","1476","TRUE","2022-05-04T13:25:48Z","40","Man","0","0","0","0","White","Non-Hispanic",1,-99,"3","2","2","2","NA","4","3","NA","3","3","3","2","","","2","2","2","4","1","2","","","7"
"269","188","100","-99","861","TRUE","2021-12-09T16:14:39Z","-99","-99","0","0","0","0","White","Non-Hispanic",2,8,"3","2","1","3","NA","3","3","3","2","3","3","","4","4","7","6","6","","","2","5","4","2"
"1420","189","100","-99","1168","TRUE","2022-05-17T18:57:14Z","-99","Man","0","0","-99","0","White","Non-Hispanic",4,24,"2","NA","2","2","2","3","2","2","2","2","3","1","","4","3","2","2","1","","1","2","2","2"
"1620","190","100","1","-99","TRUE","-99","32","Man","0","0","0","-99","-99","-99",0,1,"2","2","2","4","1","4","2","NA","2","1","1","1","5","5","2","","1","2","1","","","6","6"
"639","-99","-99","1","825","TRUE","2022-10-03T13:13:11Z","-99","Man","-99","0","0","0","White","Non-Hispanic",6,12,"NA","2","1","NA","2","3","3","3","2","3","5","2","2","4","5","5","5","1","1","","4","","2"
"1517","-99","100","1","-99","TRUE","2022-05-26T06:36:33Z","-99","Woman","-99","0","0","0","White","Non-Hispanic",9,9,"3","2","2","3","2","3","NA","2","3","3","3","2","4","4","4","","1","2","1","1","7","","7"
"1317","193","-99","1","-99","TRUE","2022-05-03T15:53:35Z","47","-99","0","0","0","0","White","Non-Hispanic",21,-99,"2","2","2","2","2","4","3","3","2","","3","2","3","4","4","4","1","1","1","","7","7","7"
"182","194","100","1","1215","TRUE","2021-09-30T20:06:12Z","37","Man","0","0","0","0","White","Non-Hispanic",15,15,"1","2","NA","3","1","3","3","3","","1","3","1","","5","7","7","","3","1","1","1","4",""
"1031","195","100","0","675","TRUE","2022-02-16T15:20:20Z","49","Man","-99","0","0","0","White","Non-Hispanic",19,35,"3","NA","NA","3","3","3","4","3","3","4","3","","4","4","","5","2","4","4","","","4","5"
"2000","196","100","1","1357","-99","2022-12-18T13:36:51Z","49","Woman","-99","-99","African American / Black","0","0","Non-Hispanic",-99,-99,"4","1","2","2","1","4","NA","2","2","1","","1","5","5","","","","","","","","",""
"1545","197","-99","-99","837","TRUE","2022-05-31T21:16:23Z","64","Man","0","0","0","0","White","Non-Hispanic",-99,38,"NA","NA","2","2","2","2","NA","2","","2","","","4","4","4","6","4","1","1","1","","7","7"
"1058","198","-99","0","-99","TRUE","2022-02-18T19:47:45Z","25","Man","0","-99","0","0","White","Non-Hispanic",2,-99,"3","NA","2","3","2","NA","3","3","","","","4","4","","2","2","2","","1","1","5","4","5"
"474","199","100","1","523","TRUE","-99","27","Man","0","0","-99","0","White","-99",4,4,"3","2","2","4","3","3","4","4","3","2","4","1","3","","3","1","1","","2","2","2","","3"
"726","200","100","1","1417","TRUE","2022-10-26T13:20:25Z","-99","Woman","-99","0","-99","0","-99","Non-Hispanic",14,27,"2","NA","NA","2","1","3","NA","1","2","2","3","2","4","","4","4","4","2","1","1","2","","2"
"1500","201","100","1","1179","-99","2022-05-25T08:57:54Z","26","-99","0","0","0","-99","White","-99",0,3,"2","2","3","NA","2","NA","3","3","","2","3","3","4","4","2","2","1","","","1","6","6","5"
"1868","202","100","1","1340","TRUE","2022-11-18T15:42:42Z","57","Man","0","0","0","0","White","Non-Hispanic",2,22,"2","2","2","NA","2","NA","2","2","2","2","2","2","","4","","1","1","5","1","1","1","7","7"
"1525","-99","100","1","675","TRUE","2022-05-26T18:34:33Z","-99","Man","-99","0","0","0","White","Non-Hispanic",31,31,"3","2","2","NA","NA","NA","3","3","3","3","3","2","4","4","","4","1","3","1","1","4","5","5"
"2010","204","100","1","-99","TRUE","2022-12-19T15:41:16Z","37","Woman","0","0","0","0","White","Non-Hispanic",-99,14,"3","2","1","NA","2","3","2","NA","2","","2","2","","4","","6","6","6","","1","4","2","2"
"655","205","100","1","594","-99","-99","32","Woman","0","0","0","0","-99","Non-Hispanic",-99,9,"1","1","1","NA","1","4","1","NA","1","1","2","1","4","4","7","7","4","","4","1","1","4","4"
"246","-99","100","-99","732","TRUE","2021-12-02T15:18:34Z","51","Man","0","0","0","0","White","Non-Hispanic",-99,26,"NA","2","2","2","2","4","NA","3","","2","","3","3","","1","1","","1","1","1","1","","1"
"554","207","100","1","1036","TRUE","2022-08-26T13:22:12Z","34","Man","0","0","African American / Black","-99","0","Non-Hispanic",3,3,"1","NA","1","3","NA","3","2","2","2","2","4","3","2","4","4","5","4","","1","1","7","","5"
"273","208","100","-99","836","TRUE","-99","38","Man","-99","0","-99","0","White","Non-Hispanic",9,18,"1","1","1","4","4","4","2","2","2","","3","3","3","3","1","1","1","1","1","1","","3","1"
"1394","209","100","1","955","TRUE","2022-05-13T19:59:43Z","21","Man","0","0","0","-99","White","Non-Hispanic",1,3,"NA","3","2","3","2","3","3","2","2","2","2","2","2","3","5","5","4","","1","1","4","6","6"
"838","210","-99","0","695","TRUE","2020-12-11T15:22:44Z","-99","-99","-99","-99","-99","0","White","Non-Hispanic",1,1,"1","4","2","NA","NA","NA","4","NA","3","2","3","2","4","4","3","2","2","","1","1","6","7","7"
"261","211","100","-99","1447","TRUE","2021-12-07T16:26:03Z","25","-99","0","0","0","-99","White","Non-Hispanic",2,2,"3","2","2","NA","2","3","2","2","","2","3","1","3","3","2","","1","2","","","3","","2"
"193","212","100","1","669","TRUE","-99","-99","Man","Native American/ Alaskan","0","0","0","White","Non-Hispanic",-99,-99,"NA","4","4","4","4","NA","4","4","4","4","2","2","5","5","","7","7","7","7","","7","7","7"
"594","-99","100","1","874","-99","-99","53","Man","0","-99","African American / Black","0","0","Non-Hispanic",15,32,"4","2","2","1","NA","NA","3","NA","2","","","5","5","5","7","7","7","","4","4","3","4","4"
"733","214","100","1","-99","TRUE","-99","38","Man","-99","0","-99","0","White","Non-Hispanic",3,13,"2","1","1","2","1","4","NA","2","1","1","","1","4","","2","","2","2","2","1","2","4",""
"1159","215","100","-99","-99","-99","2022-09-02T18:19:55Z","-99","Woman","-99","-99","0","0","White","Non-Hispanic",1,6,"1","2","1","3","2","4","3","3","","","2","1","5","5","2","2","","2","1","","7","7","7"
"904","216","100","-99","819","TRUE","2021-07-12T14:46:36Z","31","Man","0","0","0","-99","White","-99",5,5,"NA","NA","2","3","1","NA","3","3","2","2","2","1","","4","","","2","3","1","1","4","7","7"
"249","217","100","1","1020","TRUE","2021-12-02T15:23:52Z","49","Man","-99","-99","0","Hawaiian/ Pacific Islander","0","Non-Hispanic",5,23,"1","2","NA","2","1","3","2","2","2","2","1","4","4","4","","5","3","7","1","2","3","7",""
"1143","-99","100","0","885","TRUE","2022-09-01T18:15:01Z","43","Man","-99","0","0","0","White","Non-Hispanic",10,15,"2","2","NA","NA","2","NA","3","2","2","2","4","","4","3","2","2","1","","1","1","2","","2"
"1122","219","100","0","1029","TRUE","2022-08-03T18:20:08Z","32","Man","0","0","-99","-99","White","Non-Hispanic",8,13,"2","2","3","3","2","3","NA","3","2","1","3","2","5","5","","1","2","3","2","2","","7",""
"2053","220","-99","1","987","TRUE","2022-12-26T11:22:21Z","62","Man","0","0","0","0","White","Non-Hispanic",-99,28,"2","2","2","3","2","3","3","3","2","","3","","4","4","1","","","1","","1","","6","6"
"268","-99","100","1","670","-99","2021-12-09T16:11:07Z","30","Man","0","-99","-99","0","White","-99",1,-99,"4","2","1","4","2","3","3","3","3","","4","4","4","4","","2","2","","2","2","2","2","2"
"565","222","100","1","1309","TRUE","-99","-99","Man","0","0","African American / Black","0","0","Non-Hispanic",-99,1,"2","NA","NA","3","2","3","2","NA","2","3","4","3","","4","5","3","3","","3","2","2","4",""
"450","223","-99","1","1326","-99","-99","43","Man","0","-99","-99","0","White","Non-Hispanic",2,22,"4","3","NA","4","3","4","4","4","4","","","","4","4","4","","2","1","1","1","7","7","7"
"14","224","100","1","1220","TRUE","2020-12-17T18:25:53Z","37","Man","0","-99","0","0","White","Non-Hispanic",7,12,"3","2","3","3","2","NA","3","NA","2","2","3","","4","3","1","1","1","2","","1","6","6","7"
"1289","225","100","1","3231","TRUE","-99","-99","Man","0","0","0","0","-99","Non-Hispanic",25,25,"3","NA","2","4","NA","3","3","3","3","3","4","","4","4","6","6","5","7","1","5","","4","4"
"1020","226","100","0","1707","-99","2022-02-14T15:30:19Z","31","Man","0","0","0","-99","-99","Non-Hispanic",2,4,"2","2","2","3","2","3","3","NA","","2","2","","","4","2","2","1","","1","1","5","7","6"
"263","227","100","1","1916","-99","-99","47","Man","0","0","0","0","White","Non-Hispanic",6,7,"4","4","4","4","4","4","4","NA","1","4","2","","5","5","2","1","1","","1","1","","7","5"
"354","-99","100","-99","-99","TRUE","2022-03-30T14:07:51Z","-99","Man","Native American/ Alaskan","0","0","0","0","-99",1,15,"3","2","2","2","2","3","2","2","2","2","2","1","4","","2","2","2","2","","1","","3","2"
"1820","-99","100","1","940","TRUE","2022-10-28T20:17:08Z","-99","-99","0","0","-99","0","White","-99",7,21,"1","1","1","2","1","1","3","2","1","2","4","3","3","4","3","2","2","3","1","1","5","",""
"807","230","100","0","778","-99","2020-09-24T18:16:54Z","46","-99","-99","-99","0","0","White","-99",16,-99,"2","NA","2","3","NA","NA","2","NA","2","","4","2","5","5","2","2","","","1","2","6","4",""
"798","231","100","1","-99","TRUE","-99","54","Man","-99","0","0","0","White","Non-Hispanic",2,2,"2","1","2","2","2","NA","3","2","1","2","2","4","4","","2","2","1","2","1","1","2","4","3"
"23","232","100","1","-99","TRUE","2020-12-18T18:21:35Z","-99","Man","0","0","0","0","White","-99",18,8,"3","3","3","3","NA","3","3","3","3","","3","2","","3","2","","1","7","1","4","5","","6"
"1755","233","-99","1","1161","TRUE","-99","-99","Man","0","0","-99","0","White","-99",2,10,"3","2","3","4","NA","NA","3","3","2","2","4","2","5","5","","","1","","4","","2","1","2"
"737","234","100","1","1209","TRUE","2022-11-02T13:13:44Z","-99","Man","0","0","African American / Black","0","0","-99",1,1,"3","1","2","3","1","4","3","3","1","2","4","1","3","5","5","2","","4","","1","1","3","7"
"609","235","100","-99","831","TRUE","2022-09-02T13:07:58Z","38","Man","0","0","-99","0","White","Non-Hispanic",-99,-99,"2","2","1","4","NA","4","NA","4","2","1","5","1","","4","6","7","5","7","5","4","5","2","2"
"597","-99","-99","-99","846","TRUE","2022-08-31T13:20:27Z","-99","Man","0","0","0","0","-99","Non-Hispanic",5,5,"4","3","2","3","1","3","3","2","1","2","","","4","4","3","4","","","2","1","1","",""
"672","-99","100","1","1052","TRUE","2022-10-12T13:16:13Z","29","Man","0","0","0","0","White","-99",3,-99,"NA","1","1","NA","1","4","1","1","1","1","1","1","5","5","4","7","5","7","2","","","","7"
"2078","-99","100","1","3410","TRUE","2022-12-30T03:22:22Z","-99","Man","-99","-99","African American / Black","0","0","-99",12,18,"3","NA","2","3","2","4","2","2","2","2","3","1","","5","2","","1","2","1","1","7","7","7"
"869","239","100","0","692","-99","2021-05-10T14:14:52Z","64","Man","0","0","0","0","White","Non-Hispanic",-99,-99,"1","1","NA","3","1","4","2","2","2","1","2","1","5","5","2","2","1","1","","1","4","","6"
"1996","240","100","1","747","TRUE","-99","45","Man","0","0","African American / Black","0","-99","Non-Hispanic",1,17,"2","NA","NA","NA","NA","NA","2","2","2","2","3","2","4","","2","2","2","1","1","1","6","6","6"
"889","241","100","0","-99","TRUE","2021-07-08T13:10:05Z","48","Man","0","0","-99","0","White","Non-Hispanic",-99,23,"NA","NA","3","3","3","3","3","3","3","3","","3","3","3","5","5","6","7","4","1","2","3","4"
"1052","242","-99","0","1264","TRUE","-99","40","-99","-99","0","0","0","White","-99",8,-99,"1","1","1","2","1","4","1","1","1","1","1","1","5","5","","2","2","3","1","1","4","7","6"
"481","-99","100","1","1000","-99","-99","31","Man","0","0","0","0","White","Non-Hispanic",2,-99,"1","2","3","4","2","3","NA","3","1","1","3","2","4","4","2","2","2","","1","","6","7","7"
"372","244","100","1","966","TRUE","2022-04-08T13:46:07Z","36","Man","0","-99","0","-99","White","-99",7,7,"NA","1","1","NA","2","NA","2","2","2","","2","1","4","4","","3","3","3","","1","","3","3"
"1101","245","-99","0","936","TRUE","2022-06-09T14:11:52Z","-99","Man","0","0","0","0","-99","-99",-99,28,"NA","2","1","4","2","4","3","3","1","1","","1","5","","1","","","","","1","7","","7"
"832","246","100","0","1467","TRUE","2020-12-09T15:30:48Z","-99","Man","0","0","0","-99","White","-99",2,-99,"2","2","NA","NA","2","NA","2","2","2","","3","2","5","","3","2","","7","1","2","","4","5"
"335","247","100","-99","-99","TRUE","2022-02-08T15:25:46Z","39","Man","-99","0","-99","0","White","Non-Hispanic",0,-99,"2","NA","2","2","2","3","3","3","3","3","3","1","5","4","3","4","1","2","","2","2","2","2"
"489","248","100","1","604","-99","-99","33","Man","0","0","0","0","-99","-99",4,4,"3","3","2","3","NA","3","3","3","","","3","2","4","","2","4","2","2","3","2","3","4","3"
"1380","249","100","1","2590","TRUE","2022-05-12T15:09:24Z","32","Woman","0","0","0","0","White","Non-Hispanic",-99,-99,"NA","2","3","3","2","NA","3","3","","2","3","1","5","5","7","7","4","3","1","1","","6","7"
"60","250","100","1","1021","TRUE","2021-03-10T21:28:42Z","27","Woman","-99","0","0","0","White","-99",0,1,"NA","2","2","3","2","3","4","2","3","3","3","2","4","","","4","1","","1","","4","2","4"
"88","251","100","1","1040","TRUE","2021-04-15T13:51:29Z","-99","Man","0","0","-99","0","-99","-99",-99,-99,"3","NA","3","3","NA","3","4","3","3","3","2","1","","","","4","","3","1","2","3","6","6"
"2017","252","100","1","7079","TRUE","-99","22","Man","0","0","0","0","White","-99",-99,3,"1","NA","1","1","1","4","2","1","1","","","1","4","4","","2","","","1","1","6","7","7"
"1166","253","100","0","888","TRUE","2022-09-02T18:31:18Z","40","Man","0","0","0","0","-99","Non-Hispanic",-99,7,"3","NA","NA","2","2","3","3","3","2","2","2","","4","4","4","4","2","1","2","2","2","2",""
"371","254","100","-99","1040","TRUE","2022-04-08T13:45:55Z","33","Woman","0","0","0","-99","White","-99",-99,10,"3","2","NA","3","2","4","2","2","2","","2","1","5","5","4","2","","2","2","2","7","7","5"
"630","255","100","1","-99","TRUE","2022-09-27T13:30:27Z","51","-99","0","-99","African American / Black","0","-99","-99",2,19,"1","NA","NA","3","2","4","2","NA","2","","4","1","4","5","4","4","2","2","1","","1","2",""
"5","256","100","1","632","-99","2020-12-17T16:11:50Z","-99","Woman","0","0","0","0","-99","Non-Hispanic",2,7,"3","2","3","2","2","4","3","3","2","","4","3","4","4","4","2","2","2","1","1","5","7","7"
"235","257","-99","1","1237","TRUE","2021-11-17T21:53:40Z","27","Man","0","0","-99","0","White","-99",5,5,"4","NA","NA","4","NA","NA","4","3","3","4","","1","4","","4","5","1","","2","2","","","4"
"2095","258","100","1","-99","TRUE","2023-01-03T13:31:10Z","39","-99","0","0","0","0","White","Non-Hispanic",0,8,"NA","3","3","NA","3","NA","3","3","3","3","2","3","3","2","2","2","2","2","2","2","2","2","2"
"247","-99","100","1","-99","TRUE","2021-12-02T15:21:05Z","24","Man","0","-99","0","-99","-99","Non-Hispanic",0,2.5,"2","2","2","2","NA","3","NA","3","2","","3","2","4","","2","2","2","1","1","1","1","4",""
"177","260","100","1","945","TRUE","2021-09-30T19:51:10Z","-99","-99","-99","0","0","0","White","Non-Hispanic",1,11,"NA","NA","2","2","2","3","NA","3","","2","","2","4","4","4","2","4","4","1","1","4","4","2"
